Provincias;Tipo de hogar;Número de habitaciones de la vivienda;periodo;Total
Albacete;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2015;6,0
Albacete;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2014;6,6
Albacete;Pareja con hijos que convivan en el hogar: Total;Total;2019;56,6
Albacete;Pareja con hijos que convivan en el hogar: Total;Total;2018;55,6
Albacete;Pareja con hijos que convivan en el hogar: Total;Total;2017;55,3
Albacete;Pareja con hijos que convivan en el hogar: Total;Total;2016;56,5
Albacete;Pareja con hijos que convivan en el hogar: Total;Total;2015;58,9
Albacete;Pareja con hijos que convivan en el hogar: Total;Total;2014;60,2
Albacete;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2019;..
Albacete;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2018;..
Albacete;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2017;..
Albacete;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2016;..
Albacete;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2015;..
Albacete;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2014;..
Albacete;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2019;46,3
Albacete;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2018;44,7
Albacete;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2017;43,0
Albacete;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2016;44,0
Albacete;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2015;44,1
Albacete;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2014;44,1
Albacete;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2019;10,2
Albacete;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2018;10,9
Albacete;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2017;12,3
Albacete;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2016;12,6
Albacete;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2015;14,7
Albacete;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2014;16,1
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2019;23,5
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2018;23,9
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2017;23,5
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2016;23,6
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2015;23,7
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2014;24,3
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2019;..
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2018;..
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2017;..
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2016;..
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2015;..
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2014;..
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2019;19,4
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2018;19,4
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2017;18,8
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2016;18,9
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2015;18,2
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2014;18,6
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2019;4,1
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2018;4,5
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2017;4,7
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2016;4,7
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2015;5,5
Albacete;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2014;5,7
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2019;28,6
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2018;27,4
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2017;27,1
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2016;28,5
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2015;29,0
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2014;29,0
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2019;..
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2018;..
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2017;..
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2016;..
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2015;..
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2014;..
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2019;23,0
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2018;22,0
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2017;20,6
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2016;21,6
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2015;21,7
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2014;20,5
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2019;5,6
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2018;5,4
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2017;6,6
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2016;6,8
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2015;7,3
Albacete;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2014;8,6
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2019;4,5
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2018;4,3
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2017;4,6
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2016;4,5
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2015;6,2
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2014;6,9
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2019;..
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2018;..
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2017;..
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2016;..
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2015;..
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2014;..
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2019;4,0
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2018;3,3
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2017;3,6
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2016;3,4
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2015;4,3
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2014;5,0
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2019;0,5
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2018;0,9
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2017;1,1
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2016;1,0
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2015;1,9
Albacete;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2014;1,9
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2019;5,8
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2018;5,9
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2017;6,1
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2016;5,3
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2015;5,2
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2014;5,8
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2019;..
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2018;..
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2017;..
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2016;0,1
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2015;0,1
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2014;..
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2019;3,9
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2018;3,7
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2017;4,0
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2016;3,4
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2015;3,2
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2014;3,6
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2019;1,9
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2018;2,1
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2017;2,1
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2016;1,7
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2015;2,0
Albacete;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2014;2,2
Albacete;Personas que no forman ningún núcleo familiar entre sí;Total;2019;3,8
Albacete;Personas que no forman ningún núcleo familiar entre sí;Total;2018;2,8
Albacete;Personas que no forman ningún núcleo familiar entre sí;Total;2017;3,2
Albacete;Personas que no forman ningún núcleo familiar entre sí;Total;2016;2,9
Albacete;Personas que no forman ningún núcleo familiar entre sí;Total;2015;3,7
Albacete;Personas que no forman ningún núcleo familiar entre sí;Total;2014;5,4
Albacete;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2019;..
Albacete;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2018;..
Albacete;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2017;..
Albacete;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2016;..
Albacete;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2015;..
Albacete;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2014;..
Albacete;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2019;2,6
Albacete;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2018;2,4
Albacete;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2017;2,9
Albacete;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2016;2,6
Albacete;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2015;2,6
Albacete;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2014;4,1
Albacete;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2019;1,2
Albacete;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2018;0,5
Albacete;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2017;0,3
Albacete;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2016;0,2
Albacete;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2015;1,1
Albacete;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2014;1,2
Albacete;Dos o más núcleos familiares;Total;2019;3,1
Albacete;Dos o más núcleos familiares;Total;2018;2,9
Albacete;Dos o más núcleos familiares;Total;2017;3,4
Albacete;Dos o más núcleos familiares;Total;2016;3,0
Albacete;Dos o más núcleos familiares;Total;2015;2,2
Albacete;Dos o más núcleos familiares;Total;2014;1,8
Albacete;Dos o más núcleos familiares;Menos de 3 habitaciones;2019;..
Albacete;Dos o más núcleos familiares;Menos de 3 habitaciones;2018;..
Albacete;Dos o más núcleos familiares;Menos de 3 habitaciones;2017;..
Albacete;Dos o más núcleos familiares;Menos de 3 habitaciones;2016;..
Albacete;Dos o más núcleos familiares;Menos de 3 habitaciones;2015;..
Albacete;Dos o más núcleos familiares;Menos de 3 habitaciones;2014;..
Albacete;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2019;2,0
Albacete;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2018;1,8
Albacete;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2017;3,0
Albacete;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2016;2,5
Albacete;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2015;1,5
Albacete;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2014;1,2
Albacete;Dos o más núcleos familiares;7 o más habitaciones;2019;1,1
Albacete;Dos o más núcleos familiares;7 o más habitaciones;2018;1,1
Albacete;Dos o más núcleos familiares;7 o más habitaciones;2017;0,4
Albacete;Dos o más núcleos familiares;7 o más habitaciones;2016;0,5
Albacete;Dos o más núcleos familiares;7 o más habitaciones;2015;0,7
Albacete;Dos o más núcleos familiares;7 o más habitaciones;2014;0,5
Alicante/Alacant;Total (tipo de hogar);Total;2019;747,2
Alicante/Alacant;Total (tipo de hogar);Total;2018;744,7
Alicante/Alacant;Total (tipo de hogar);Total;2017;747,6
Alicante/Alacant;Total (tipo de hogar);Total;2016;750,3
Alicante/Alacant;Total (tipo de hogar);Total;2015;749,8
Alicante/Alacant;Total (tipo de hogar);Total;2014;749,5
Alicante/Alacant;Total (tipo de hogar);Menos de 3 habitaciones;2019;5,3
Alicante/Alacant;Total (tipo de hogar);Menos de 3 habitaciones;2018;8,7
Alicante/Alacant;Total (tipo de hogar);Menos de 3 habitaciones;2017;10,5
Alicante/Alacant;Total (tipo de hogar);Menos de 3 habitaciones;2016;9,4
Alicante/Alacant;Total (tipo de hogar);Menos de 3 habitaciones;2015;11,0
Alicante/Alacant;Total (tipo de hogar);Menos de 3 habitaciones;2014;12,2
Alicante/Alacant;Total (tipo de hogar);Entre 3 y 6 habitaciones;2019;634,6
Alicante/Alacant;Total (tipo de hogar);Entre 3 y 6 habitaciones;2018;643,9
Alicante/Alacant;Total (tipo de hogar);Entre 3 y 6 habitaciones;2017;635,5
Alicante/Alacant;Total (tipo de hogar);Entre 3 y 6 habitaciones;2016;638,2
Alicante/Alacant;Total (tipo de hogar);Entre 3 y 6 habitaciones;2015;653,0
Alicante/Alacant;Total (tipo de hogar);Entre 3 y 6 habitaciones;2014;644,6
Alicante/Alacant;Total (tipo de hogar);7 o más habitaciones;2019;107,3
Alicante/Alacant;Total (tipo de hogar);7 o más habitaciones;2018;92,1
Alicante/Alacant;Total (tipo de hogar);7 o más habitaciones;2017;101,6
Alicante/Alacant;Total (tipo de hogar);7 o más habitaciones;2016;102,8
Alicante/Alacant;Total (tipo de hogar);7 o más habitaciones;2015;85,9
Alicante/Alacant;Total (tipo de hogar);7 o más habitaciones;2014;92,8
Alicante/Alacant;Hogar unipersonal;Total;2019;192,6
Alicante/Alacant;Hogar unipersonal;Total;2018;190,1
Alicante/Alacant;Hogar unipersonal;Total;2017;191,7
Alicante/Alacant;Hogar unipersonal;Total;2016;193,0
Alicante/Alacant;Hogar unipersonal;Total;2015;192,2
Alicante/Alacant;Hogar unipersonal;Total;2014;190,8
Alicante/Alacant;Hogar unipersonal;Menos de 3 habitaciones;2019;3,1
Alicante/Alacant;Hogar unipersonal;Menos de 3 habitaciones;2018;5,7
Alicante/Alacant;Hogar unipersonal;Menos de 3 habitaciones;2017;6,0
Alicante/Alacant;Hogar unipersonal;Menos de 3 habitaciones;2016;6,2
Alicante/Alacant;Hogar unipersonal;Menos de 3 habitaciones;2015;6,9
Alicante/Alacant;Hogar unipersonal;Menos de 3 habitaciones;2014;6,8
Alicante/Alacant;Hogar unipersonal;Entre 3 y 6 habitaciones;2019;171,0
Alicante/Alacant;Hogar unipersonal;Entre 3 y 6 habitaciones;2018;167,4
